temperature device 5,humidity device 5,temperature device 4,humidity device 4,temperature device 3,humidity device 3,temperature device 2,humidity device 2,temperature device 1,humidity device 1
23.2,50.8,22.8,52.0,23.1,50.3,22.8,47.5,22.3,48.5
22.0,50.7,23.8,51.9,22.5,50.1,22.6,47.1,23.8,48.6
23.2,50.7,23.5,51.8,23.4,50,23,47,22.3,48.7
23.3,50.8,23.4,51.5,23.9,49.9,22.9,46.9,22.3,48.7
23.2,50.7,23.5,51.3,22.4,49.5,22.7,46.7,22.3,48.7
23.3,50.7,23.4,51.1,23.7,49.3,22.9,46.7,22.3,48.7
23.2,50.8,23.4,50.9,23.6,49,22.9,46.6,22.5,48.7
23.3,50.9,23.2,50.6,23.6,48.7,22.7,46.8,22.3,48.7
23.3,50.9,23.3,50.5,23.6,48.4,22.8,46.8,22.3,48.7
23.2,50.9,23.3,50.4,23.6,48.2,22.7,46.9,22.3,48.7
23.2,50.9,23.2,50.3,23.5,48.1,23.1,46.9,22.3,48.7
22.0,50.7,23.4,50.2,23.5,48,22.9,46.9,22.3,48.7
23.3,50.7,23.2,50.2,23.5,47.9,22.7,46.8,22.3,48.7
23.2,50.7,23.2,50.1,23.2,47.9,22.7,46.8,22.3,48.7
21.9,50.6,23.1,50.0,23.5,47.9,22.9,46.8,22.3,48.7
23.2,50.5,23.2,50.0,23.5,47.9,22.8,46.8,22.3,48.8
21.9,50.2,23.2,50.0,22.2,47.9,22.9,46.7,22.3,48.8
22.1,50.0,23.4,50.0,23.1,47.9,22.7,46.7,22.3,48.8
23.4,49.8,23.3,50.0,23.4,47.9,22.8,46.8,22.2,48.8
23.2,49.5,23.6,50.0,23.2,48,22.8,46.8,22.3,48.8
23.2,49.4,22.9,50.0,23.6,48,23.1,46.9,22.2,48.7
23.2,49.2,23.1,50.0,23.3,48.1,22.7,46.9,22.3,48.7
21.9,49.1,23.1,50.0,23.3,48.2,23.2,47,22.4,48.7
23.2,49.1,23.2,50.0,23.1,48.2,22.7,47.1,22.3,48.6
23.3,49.0,23.2,49.9,23.1,48.2,23.1,47.2,22.3,48.5
23.3,49.0,23.0,49.8,23.6,48.2,23.2,47.2,23.7,48.5
23.0,49.0,23.1,49.7,23.3,48.1,23.1,47.2,22.3,48.4
23.2,49.0,23.3,49.6,23.4,48.1,22.8,47.2,22.3,48.3
23.2,49.1,23.3,49.4,23,48.1,23.1,47.1,22.3,48.2
23.3,49.1,23.3,49.3,23.1,48,23.1,47,22.3,48.2
23.3,49.2,23.1,49.3,23.5,48.1,23.1,46.8,22.3,48.2
21.9,49.1,22.9,49.2,23.3,48,23.1,46.7,22.3,48.2
23.3,49.2,22.9,49.2,23.2,48,23.3,46.6,22.3,48.2
23.2,49.2,22.6,49.1,23.1,48,23.2,46.6,22.3,48.3
23.2,49.3,22.9,49.1,23.3,48,22.6,46.4,22.3,48.3
21.9,49.3,22.9,49.1,23.2,48,23.2,46.4,22.3,48.4
23.2,49.4,22.7,49.1,23.3,48.1,23.2,46.3,22.3,48.4
23.1,49.5,23.0,49.2,23.3,48.1,23.1,46.2,22.4,48.4
23.2,49.6,22.8,49.3,23.4,48.2,23.1,46.2,22.3,48.4
23.2,49.7,22.7,49.3,23.1,48.3,23.2,46.2,22.2,48.4
23.3,49.7,22.9,49.2,23.2,48.4,23.2,46.3,22.3,48.5
23.4,49.9,22.9,49.2,23,48.4,22.8,46.3,22.3,48.5
23.2,50.0,23.0,49.2,23.4,48.5,23.1,46.3,22.3,48.5
22.0,49.9,22.8,49.2,21.9,48.4,23.1,46.3,22.3,48.6
23.1,50.0,22.9,49.1,23.2,48.5,23.2,46.3,22.2,48.6
21.9,49.9,,,23.3,48.6,23.1,46.3,22.3,48.7
23.1,50.0,,,23.2,48.6,23.1,46.3,22.3,48.7
23.1,50.0,,,23.2,48.8,23.1,46.3,22.3,48.7
23.2,50.1,,,23.1,48.8,23.2,46.3,22.2,48.7
21.9,50.1,,,23.2,49,23,46.4,22.3,48.7
